id,author,dynasty
1324,葉雨,清
1325,章穀,清
1326,章聲,清
1327,張穆,清
1328,周笠,清
1329,包棟,清
1330,何園客,清
1331,李熙垣,清
1332,羅辰,清
1333,王撰,清
1334,吴求,清
1335,張煒,清
1336,陳岷,清
1337,陳書,清
1338,華冠,清
1339,蔣季錫,清
1340,康濤,清
1341,劉焜,清
1342,沈雒,清
1343,蘇仁山,清
1344,薛珩,清
1345,薛懷,清
1346,張經,清
1347,陳鑅,清
1348,蔣偉,清
1349,居慶,清
1350,雪翁,清
1351,黄向堅,清
1352,駿業（宋駿業）,清
1353,孔毓坼,清
1354,陸沅,清
1355,丘嶽,清
1356,阮年,清
1357,余集,清
1358,張世準,清
1359,張綏,清
1360,朱華,清
1361,陳嘉樂,清
1362,金侃,清
1363,方伸,清
1364,王崇節,清
1365,李巒,清
1366,李世佐,清
1367,蘇宜,清
1368,葉道本,清
1369,馬敬思,清
1370,萬壽祺,清
1371,梁亨,清
1372,武進功,清
1373,翟大坤,清
1374,張培敦,清
1375,孫師昌,清
1376,程在嶸,清
1377,勞徵,清
1378,馬負圖,清
1379,宋天麐,清
1380,吴楙,清
1381,張伯龍,清
1382,張昉,清
1383,張庚,清
1384,朱時翔,清
1385,李藩,清
1386,王璐卿,清
1387,陸承宗,清
1388,章采,清
1389,王文治,清
1390,範利仁,清
1391,郜璉,清
1392,顧原,清
1393,華浚,清
1394,江鼎,清
1395,金俊明,清
1396,王蔭昌,清
1397,薛宣,清
1398,葉薈雲,清
1399,張兆祥,清
1400,趙帆,清
1401,馬賢,清
1402,張恂,清
1403,王式,清
1404,陳農,清
1405,孔繼榮,清
1406,湯光啟,清
1407,張篤行,清
1408,張尚思,清
1409,莊冏生,清
1410,鮑楷,清
1411,查繼佐,清
1412,程蘿,清
1413,丁克揆,清
1414,顧樵,清
1415,姜實節,清
1416,蔣和,清
1417,金玥,清
1418,倪耘,清
1419,牛石慧,清
1420,錢灃,清
1421,錢維喬,清
1422,童原,清
1423,吴彥國,清
1424,吴鼒,清
1425,謝淞洲,清
1426,徐岡,清
1427,尤紹,清
1428,俞培,清
1429,魯集,清
1430,陸㬙,清
1431,史顏節,清
1432,汪進,清
1433,大汕,清
1434,毛際可,清
1435,山疇,清
1436,朱嵩,清
1437,顧復初,清
1438,侯建,清
1439,楊補,清
1440,毛上炱,清
1441,張儼,清
1442,戴應宏,清
1443,吕琮,清
1444,方大猷,清
1445,王方岳,清
1446,周洽,清
1447,陳铣,清
1448,董棨,清
1449,翁雒,清
1450,吴玖,清
1451,朱照,清
1452,姜壎,清
1453,嚴繩孫,清
1454,翟繼昌,清
1455,王廷綬,清
1456,張於栻,清
1457,茅麐,清
1458,鈕學,清
1459,張同,清
1460,祖自弘,清
1461,冒襄,清
1462,尤英,清
1463,胡九思,清
1464,胡璞,清
1465,黄吕,清
1466,羅日琮,清
1467,饒璟,清
1468,汪漢,清
1469,二十四家,清
1470,幾穀,清
1471,徐時顯,清
1472,顧文淵,清
1473,查士標（款）,清
1474,高鳳翰（傳）,清
1475,黄慎（款）,清
1476,王原祁（款）,清
1477,吴元瑜（傳）,清
1478,龔賢（傳）,清
1479,沈銓（傳）,清
1480,吴歷（傳）,清
1481,董邦達（傳）（官網）,清
1482,金廷標（傳）,清
1483,石濤（傳）王蒙（傳）,清
1484,王翬（傳）,清
1485,王翬（仿）,清
1486,王原祁（傳）,清
1487,佚名（仿王詵）,清
1488,佚名（仿趙佶）,清
1489,米芾（傳）,宋
1490,李從訓,宋
1491,張嗣成,元
1492,趙蒼雲,元
1493,夏永岳,元
1494,夏永（仿）,清
1495,郭忠恕（仿）,元
1496,钱选,元
1497,温日觀,元
1498,楊修（魏）,汉至隋
1499,王繹,元
1500,陶鉉,元
1501,張雨,元
1502,王曉,宋
1503,雪界翁,元
1504,王醴,明
1505,周蕃,明
1506,張翮,明
1507,王峻,明
1508,明旭,明
1509,朱質,明
1510,陳思,明
1511,馮儼,明
1512,吴焯,清
1513,陸原,清
1514,吴振等,明
1515,囗澧,明
1516,朱穉微,明
1517,曹嶽,清
1518,姜廷幹,清
1519,郭鼎京,清
1520,方宗塤,清
1521,Yu Ruoying,明
1522,施霖,清
1523,祁鴻孫,明
1524,白漢,明
1525,陳虞胤,明
1526,胡淨鬘,明
1527,李畹生,明
1528,徐易,明
1529,葉士梓,明
1530,王樹穀,明
1531,華嵒,明
1532,項聖謨（图目）,清
1533,謝彬,明
1534,林允俊,明
1535,貞明,明
1536,錢旭,明
1537,吴山濤,清
1538,莊冋生,清
1539,陳掖臣,清
1540,翁昇,清
1541,吕雲葆,清
1542,徐泰,明
1543,魏之璜,明
1544,殳君素,明
1545,汪建,明
1546,劉邁,明
1547,曹熙志,明
1548,顧在湄,清
1549,黄深,清
1550,黄子陽,清
1551,張一鵠,清
1552,黄□,清
1553,陳薖,清
1554,黄章,清
1555,欽揖,清
1556,顧章,清
1557,上震,清
1558,歸藏,清
1559,張適,清
1560,吴娟娟,明
1561,王賓儒,明
1562,陳範,明
1563,（出版）佚名,明
1564,佚名（李迪款）（出版）,明
1565,唐寅 周文矩款（傳）,明
1566,佚名（周文矩款）（出版）,明
1567,陳基,清
1568,佚名（馬遠款）（出版）,明
1569,宋旭（傳）（官網）,明
1570,王蒙（傳）（鈴木敬）,明
1571,丁野夫（鈴木敬）,元
1572,佚名（官網）,元
1573,沈堅,清
1574,孔衍,清
1575,鄭淮,清
1576,楊豹,清
1577,馬昂,清
1578,于琰,清
1579,劉石齡,清
1580,宋駿業,清
1581,方孝維,清
1582,周茲,清
1583,顧士琦,清
1584,顧卓,清
1585,許容,清
1586,張振岳,清
1587,王永,清
1588,李堅,清
1589,鄧煐,清
1590,錢珍,清
1591,黄衛,清
1592,馮纕,清
1593,許佑,清
1594,袁浦,清
1595,蔣于京,清
1596,屺景亭,清
1597,徐溶,清
1598,顧政,清
1599,華胥,清
1600,石溪（出版）,清
1601,王岵孫,清
1602,王麟孫,清
1603,葉芳林,清
1604,唐宇昭,清
1605,陸燦,清
1606,薛疇,清
1607,惲蘭溪,清
1608,汪度,明
1609,劉上延,明
1610,石溪等,清
1611,海靖,清
1612,楊廷,清
1613,高遇,清
1614,石城大雲,清
1615,石溪等（出版）,清
1616,適道人（款文）,清
1617,應耨（印文）,清
1618,黄安平,清
1619,“又乾”,清
1620,易理,清
1621,霜曉,清
1622,蔣驥,清
1623,嵩南,清
1624,蔣恒,清
1625,趙子泗,清
1626,王斌,清
1627,崔瑶,清
1628,罗牧,清
1629,弘修,清
1630,张穉,清
1631,唐允甲,清
1632,王概,清
1633,汪士鈜,清
1634,程元愈,清
1635,“老田”,清
1636,沈泌,清
1637,吴肅公,清
1638,吴瞻泰,清
1639,史爾祉,清
1640,遁休,清
1641,江遠,清
1642,朱陵,清
1643,夏官,清
1644,志完,清
1645,梅琢,清
1646,太宗（印文）,清
1647,大振,清
1648,紀映鍾,清
1649,張遺,清
1650,胡士昆,清
1651,向陽,清
1652,陸瑜,清
1653,樊雲,清
1654,鄒壽坤,清
1655,劉超,清
1656,王着,清
1657,顧惺,清
1658,官銓等,清
1659,曹溪,清
1660,宗言,清
1661,劉琳,清
1662,巨來,清
1663,虞蟾,清
1664,李璿,清
1665,沈瑜,清
1666,方婉儀,清
1667,張耒,清
1668,劉彥沖合作,清
1669,尤詔,清
1670,王州元,清
1671,石延輝,清
1672,屠暶,清
1673,何恬,清
1674,伊大麓,清
1675,吴九思,清
1676,朱文景,清
1677,高樹程,清
1678,余鍔,清
1679,陳豫鍾,清
1680,胡公壽,清
1681,費以群,清
1682,李仙根,清
1683,尹沅,清
1684,胡璋,清
1685,孫祐,清
1686,沈源,清
1687,屈兆麟,清
1688,伍葆恒等,清
1689,郭琦,清
1690,蔡含,清
1691,吴允楷,清
1692,馮箕,清
1693,李象豐,清
1694,英遇,清
1695,唐郁文,清
1696,古毫,清
1697,陳滕桂,清
1698,王無忝,清
1699,陳星,清
1700,陳衡,清
1701,章谷,清
1702,吕焕成,清
1703,顧仲清,清
1704,徐令,清
1705,涂洛,清
1706,張琦,明
1707,翁方綱,清
1708,江磊齋,清
1709,張英,清
1710,陳山人,清
1711,徐寶篆,清
1712,章曰能,清
1713,徐邦,清
1714,施洽,清
1715,陳樸,清
1716,滕芳,清
1717,汪質,清
1718,曹灝,清
1719,徐來,清
1720,戴□,清
1721,朱珏,清
1722,蔣芳,清
1723,吴攸,清
1724,柴貞儀,清
1725,柴静儀,清
1726,李公麟（鈴木敬）,宋
1727,張芳寂（傳）,元
1728,張芳寂（鈴木敬）,元
1729,趙庸,元
1730,趙雍（鈴木敬）,元
1731,陳永價,清
