iata,nx,ny
D015259,-680.5515873,973.4484127
D015260,2285.448413,-1976.448413
D015261,906.4484127,2129.448413
D015262,-1021.551587,-147.4484127
D015263,1090.448413,639.4484127
D015264,-1118.440627,-672.5499945
D015265,965.4641567,-880.9812496
D015266,-274.5515873,985.5515873
D015268,-698.4484127,795.5515873
D015269,779.5515873,961.4484127
D015271,-622.3069622,1149.340265
D015272,1107.454102,694.1141197
D015273,-80.4106561,1014.819258
D015274,989.5515873,1001.551587
D015275,497.8945179,-1265.583284
D015276,-1055.311447,857.8564852
D015277,306.5515873,1342.551587
D015278,-1028.551587,-819.4484127
D015279,-943.4918778,382.2918735
D015280,-81.72049851,-1304.442701
D015281,420.9758132,1237.34731
D015282,511.0935267,-1202.926601
D015283,851.2660128,-991.7636692
D015284,1261.073605,-343.4273767
D015285,1300.208643,365.3406587
D015286,1273.363278,-294.6098495
D015287,535.7891969,-1192.132097
D015288,164.8844296,1296.557799
D015289,-553.3130443,1184.100365
D015290,911.609091,453.092557
D015291,-628.4484127,-837.5515873
D015292,156.4621086,-1297.601098
D015293,1288.613232,-218.4603838
D015294,302.4484127,1264.448413
D015295,-1204.466642,507.4535518
D015296,-589.0355822,830.2777143
D015297,1123.551587,-167.5515873
D015298,590.4484127,856.5515873
D015299,790.597843,-1040.770892
D015300,915.4199389,-445.3429414
D015301,2168.448413,1623.448413
D015302,-1773.448413,1864.448413
D015303,-1700.448413,-450.4484127
D015304,887.4677154,498.7234245
D015305,356.9428526,-953.3707568
D015306,1323.448413,-486.4484127
D015307,901.4484127,1004.448413
D015308,-1063.551587,-326.5515873
D015309,1017.848701,-17.55053825
D015310,-370.9322878,948.0154207
D015311,-410.5515873,-984.5515873
D015312,209.8058919,996.1453146
D015313,1279.437052,267.0015544
D015314,1104.551587,-134.5515873
D015315,658.5515873,-861.5515873
D015316,-23.5515873,1090.551587
D015317,844.2930992,568.7645933
D015318,6.087273685,1306.985824
D015319,-196.1480659,-1292.197716
D015320,1294.305997,181.7167761
D015321,1166.306681,589.8963697
D015322,200.4484127,1365.448413
D015323,-1023.862906,-812.3753748
D015324,239.3992345,1284.887935
D015325,1211.499609,-490.4260377
D015326,1090.185485,813.0778608
D015327,-1306.629808,-31.10539407
D015328,961.4484127,-930.5515873
D015329,575.4484127,-614.4484127
D015330,1107.239785,694.4559444
D015331,-479.4464886,1215.886534
D015333,1099.976316,705.9044589
D015334,1228.173678,447.0329044
D015335,-1223.792579,458.890753
D015336,-911.7362545,936.4753079
D015337,-32.20975883,-1306.60305
D015338,815.4484127,-1364.551587
D015339,1271.309197,-303.3511585
D015340,-505.9049076,-1205.11793
D015341,1292.609075,193.4186641
D015342,1082.551587,983.5515873
D015343,1254.517401,525.1533974
D015344,-1263.884261,332.9347901
D015345,827.9455847,-1011.313556
D015346,-2079.448413,-2116.448413
D015347,1151.401855,618.4842498
D015348,2046.448413,-406.4484127
D015350,997.8770994,201.4082781
D015351,1868.448413,-536.4484127
D015352,709.4484127,486.4484127
D015353,-1652.448413,1996.448413
D015354,-1266.448413,2204.448413
D015355,-1012.58123,-104.8963924
D015356,1972.448413,-921.4484127
D015357,1805.448413,1562.448413
D015358,1100.551587,-86.4484127
D015359,-229.4179499,-1286.707583
D015360,1971.448413,2258.448413
D015361,2150.448413,388.4484127
D015362,514.0515873,378.4484127
D015363,1036.551587,107.5515873
D015364,-123.6868053,-1010.458101
D015365,1201.448413,-877.4484127
D015366,-1223.448413,-1499.448413
D015368,1278.214761,-272.793005
D015369,-402.5255192,935.0386122
D015370,-105.5515873,1078.051587
D015371,1274.951398,287.6594029
D015372,204.4484127,1068.551587
D015373,1036.551587,-55.5515873
D015374,-945.044475,-378.4374985
D015375,937.1227681,-911.2529779
D015379,-1628.448413,-214.4484127
D015382,-334.4484127,-985.5515873
D015383,74.5515873,-1201.551587
D015384,-797.6607094,-1035.367757
D015385,734.1268104,-705.2530229
D015386,-437.5515873,-953.5515873
D015388,2063.448413,1823.448413
D015389,-1230.115079,-234.4484127
D015390,399.5515873,-1009.884921
D015393,-89.33390389,-1014.072706
