Source,Target,Type,Relation,Weight,Year,Project,Level1,Level2
P::关键软件,L2::计算机技术,Undirected,培养项目-二级学科,11,overall,关键软件,,计算机技术
P::关键软件,L2::软件工程,Undirected,培养项目-二级学科,13,overall,关键软件,,软件工程
P::农业生物安全,L2::资源利用与植物保护,Undirected,培养项目-二级学科,101,overall,农业生物安全,,资源利用与植物保护
P::农业资源高效利用与保护,L2::农业工程与信息技术,Undirected,培养项目-二级学科,25,overall,农业资源高效利用与保护,,农业工程与信息技术
P::农业资源高效利用与保护,L2::资源利用与植物保护,Undirected,培养项目-二级学科,52,overall,农业资源高效利用与保护,,资源利用与植物保护
P::农作物现代生物育种,L2::农艺与种业,Undirected,培养项目-二级学科,107,overall,农作物现代生物育种,,农艺与种业
P::农村发展与乡村振兴,L2::农村发展,Undirected,培养项目-二级学科,30,overall,农村发展与乡村振兴,,农村发展
P::减污降碳协同治理,L2::能源动力（能源学院）,Undirected,培养项目-二级学科,14,overall,减污降碳协同治理,,能源动力（能源学院）
P::减污降碳绿色环境技术,L2::农业工程与信息技术,Undirected,培养项目-二级学科,3,overall,减污降碳绿色环境技术,,农业工程与信息技术
P::减污降碳绿色环境技术,L2::资源与环境（环资学院）,Undirected,培养项目-二级学科,28,overall,减污降碳绿色环境技术,,资源与环境（环资学院）
P::减污降碳绿色环境技术,L2::资源利用与植物保护,Undirected,培养项目-二级学科,9,overall,减污降碳绿色环境技术,,资源利用与植物保护
P::分布式智能电网,L2::动力工程,Undirected,培养项目-二级学科,8,overall,分布式智能电网,,动力工程
P::分布式智能电网,L2::电气工程,Undirected,培养项目-二级学科,33,overall,分布式智能电网,,电气工程
P::功能化学品智造工程,L2::材料与化工（化工学院）,Undirected,培养项目-二级学科,6,overall,功能化学品智造工程,,材料与化工（化工学院）
P::功能化学品智造工程,L2::生物与医药（化工学院）,Undirected,培养项目-二级学科,4,overall,功能化学品智造工程,,生物与医药（化工学院）
P::动物产品品质与安全,L2::兽医,Undirected,培养项目-二级学科,4,overall,动物产品品质与安全,,兽医
P::动物产品品质与安全,L2::畜牧,Undirected,培养项目-二级学科,9,overall,动物产品品质与安全,,畜牧
P::动物疫病防控与生物安全,L2::兽医,Undirected,培养项目-二级学科,11,overall,动物疫病防控与生物安全,,兽医
P::区块链与可信智能软件,L2::计算机技术,Undirected,培养项目-二级学科,39,overall,区块链与可信智能软件,,计算机技术
P::区块链技术与平台,L2::人工智能,Undirected,培养项目-二级学科,38,overall,区块链技术与平台,,人工智能
P::区块链技术与平台,L2::电子信息（软件学院）,Undirected,培养项目-二级学科,6,overall,区块链技术与平台,,电子信息（软件学院）
P::区块链技术与平台,L2::软件工程,Undirected,培养项目-二级学科,110,overall,区块链技术与平台,,软件工程
P::医疗健康创新工程,L2::仪器仪表工程,Undirected,培养项目-二级学科,2,overall,医疗健康创新工程,,仪器仪表工程
P::医疗健康创新工程,L2::机械工程,Undirected,培养项目-二级学科,1,overall,医疗健康创新工程,,机械工程
P::医疗健康创新工程,L2::材料工程,Undirected,培养项目-二级学科,1,overall,医疗健康创新工程,,材料工程
