Id,Label,timeset,院系,课程性质,课程体系,是否允许外院选课,上课语言,degree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class
2011052,博弈论,,管理学院,专业选修课,学术学位,是,双语,12,879,14,0.141161,0.148618,0,57
2013058,博弈论,,管理学院,专业选修课,学术学位,是,双语,3,0,0,0,0,0,55
2013059,随机模型,,管理学院,专业选修课,学术学位,是,双语,3,0,0,0,0,0,56
2013068,旅游规划,,管理学院,专业选修课,学术学位,是,中文,6,113,14,0.141096,0.147686,0.000378,57
2013073,服务科学研究专题,,管理学院,专业选修课,学术学位,是,双语,7,207,14,0.141091,0.147725,0,57
2013074,融资、并购与公司控制,,管理学院,专业选修课,学术学位,是,双语,5,70,14,0.141082,0.147492,0,57
2013076,实验设计与数据分析,,管理学院,专业选修课,学术学位,是,双语,5,83,14,0.141087,0.147531,0,57
2013082,神经管理学研究专题,,管理学院,专业选修课,学术学位,否,中文,6,97,14,0.141087,0.147608,0,57
2021023,组织行为学（英）,,管理学院,专业学位课,学术学位,是,全外文,16,1508,14,0.141142,0.148851,0.000001,57
2021026,组织与管理研究（英）,,管理学院,专业学位课,学术学位,是,全外文,20,2017,14,0.14118,0.149472,0.000003,57
2021027,管理研究方法(英）,,管理学院,专业学位课,,是,全外文,17,1628,14,0.141166,0.149123,0.000002,57
2021029,管理统计学（英）,,管理学院,专业学位课,学术学位,是,全外文,39,4031,13,0.164243,0.176655,0.011482,57
2021036,高级微观经济学（英）,,管理学院,专业学位课,专业学位,是,全外文,14,794,13,0.163936,0.172907,0.000265,57
2021037,博弈论（英）,,管理学院,专业学位课,学术学位,是,全外文,14,813,13,0.163936,0.172907,0.000265,57
2021038,R语言与数据分析（英）,,管理学院,专业学位课,学术学位,是,全外文,15,763,12,0.195812,0.209186,0.019159,57
2021050,数据挖掘,,管理学院,专业学位课,学术学位,是,全外文,20,1498,14,0.141212,0.149666,0.000023,57
2023051,商务计划与实践,,管理学院,专业选修课,学术学位,是,中文,8,459,13,0.163873,0.172053,0.000357,57
2023084,战略管理(英),,管理学院,专业选修课,学术学位,是,全外文,11,704,14,0.141124,0.148307,0.000095,57
2023085,人力资源管理（英）,,管理学院,专业选修课,学术学位,是,全外文,6,91,14,0.141087,0.147608,0,57
2023086,运作管理（英）,,管理学院,专业选修课,,是,全外文,7,183,14,0.141091,0.147725,0,57
2023087,高级市场营销学（英）,,管理学院,专业选修课,学术学位,是,全外文,5,108,14,0.141082,0.147492,0,57
2023088,宏观经济学（英）,,管理学院,专业选修课,,是,中文,10,733,14,0.141119,0.148191,0,57
2023089,运筹学Ⅱ（英）,,管理学院,专业选修课,学术学位,是,全外文,10,413,13,0.164023,0.173043,0.000095,57
