Source,Target,Type,Id,Label,timeset,Weight
1023026,1011063,Undirected,56,,,112
1023026,1021023,Undirected,57,,,400
1023026,1021079,Undirected,58,,,195
1023026,1021044,Undirected,59,,,151
1023026,1023029,Undirected,60,,,418
1023026,1023030,Undirected,61,,,196
1023026,1023103,Undirected,62,,,168
1023026,109510,Undirected,63,,,57
1023026,609606,Undirected,64,,,57
1021134,1042114,Undirected,65,,,53
1021134,2742002,Undirected,66,,,76
1021134,3309001,Undirected,67,,,56
1021134,1021142,Undirected,70,,,67
1021134,1021153,Undirected,71,,,41
1021134,1023143,Undirected,72,,,51
1021134,1041136,Undirected,73,,,49
1022137,1012131,Undirected,74,,,103
1022137,1021023,Undirected,75,,,157
1022137,1021033,Undirected,76,,,133
1022137,1023039,Undirected,77,,,204
1022137,1023106,Undirected,78,,,104
1022137,1042114,Undirected,79,,,187
1022137,2742002,Undirected,80,,,193
1022137,3309001,Undirected,81,,,192
1022137,1021142,Undirected,85,,,46
1022137,1021144,Undirected,86,,,21
1022137,1022138,Undirected,87,,,165
1022137,1023139,Undirected,88,,,24
1022137,1023141,Undirected,89,,,40
1022137,1023154,Undirected,90,,,25
1022137,1041136,Undirected,92,,,96
1022137,1041158,Undirected,93,,,105
1009001,1011062,Undirected,96,,,136
1009001,1011072,Undirected,98,,,276
1009001,1011098,Undirected,99,,,109
1009001,1011108,Undirected,100,,,82
1009001,1011110,Undirected,101,,,88
1009001,1012061,Undirected,102,,,99
1009001,1012116,Undirected,103,,,91
1009001,1013076,Undirected,104,,,100
1009001,1021003,Undirected,105,,,262
1009001,1021004,Undirected,106,,,132
1009001,1021011,Undirected,107,,,105
1009001,1021012,Undirected,108,,,115
1009001,1021013,Undirected,109,,,129
1009001,1021014,Undirected,110,,,196
1009001,1021023,Undirected,111,,,296
1009001,1021032,Undirected,112,,,267
1009001,1021033,Undirected,113,,,288
1009001,1021034,Undirected,114,,,62
1009001,1021035,Undirected,115,,,209
1009001,1021043,Undirected,116,,,52
1009001,1021044,Undirected,117,,,187
1009001,1021045,Undirected,118,,,57
1009001,1021046,Undirected,119,,,63
1009001,1021052,Undirected,120,,,212
1009001,1021079,Undirected,121,,,136
1009001,1021082,Undirected,122,,,298
1009001,1021085,Undirected,123,,,130
1009001,1021096,Undirected,124,,,61
1009001,1021107,Undirected,125,,,167
1009001,1021109,Undirected,126,,,99
1009001,1021112,Undirected,127,,,51
1009001,1021115,Undirected,128,,,117
1009001,1021128,Undirected,129,,,90
1009001,1023008,Undirected,130,,,181
1009001,1023015,Undirected,131,,,131
1009001,1023017,Undirected,132,,,88
1009001,1023021,Undirected,133,,,143
1009001,1023029,Undirected,134,,,192
1009001,1023030,Undirected,135,,,174
1009001,1023037,Undirected,136,,,47
1009001,1023038,Undirected,137,,,90
1009001,1023039,Undirected,138,,,266
1009001,1023040,Undirected,139,,,169
1009001,1023042,Undirected,140,,,186
1009001,1023048,Undirected,141,,,43
1009001,1023049,Undirected,142,,,64
1009001,1023050,Undirected,143,,,64
1009001,1023077,Undirected,144,,,164
1009001,1023078,Undirected,145,,,129
1009001,1023083,Undirected,146,,,188
1009001,1023084,Undirected,147,,,169
1009001,1023101,Undirected,148,,,120
1009001,1023105,Undirected,149,,,81
1009001,1023106,Undirected,150,,,248
1009001,1041095,Undirected,151,,,231
1009001,109504,Undirected,152,,,79
1009001,109505,Undirected,153,,,69
1009001,109510,Undirected,154,,,129
1009001,209503,Undirected,155,,,74
1009001,209513,Undirected,156,,,60
1009001,409506,Undirected,158,,,45
1009001,409508,Undirected,159,,,54
1009001,409520,Undirected,160,,,24
1009001,409523,Undirected,161,,,99
1009001,409526,Undirected,162,,,21
